1.5 10.5 0 
2.18682 10.459 -0.0359388 
2.61025 10.0739 -0.303257 
2.93892 9.61722 -0.0164917 
3.60313 9.529 -0.0884226 
3.92879 9.03758 -0.321398 
4.05557 8.41849 -0.173249 
4.52691 7.96085 -0.27136 
5.0985 8.08438 -0.513809 
5.74499 7.87273 -0.462277 
6.16969 7.421 -0.634248 
6.80152 7.14211 -0.6035 
7.14607 6.72923 -0.266984 
7.76458 6.52463 -0.157902 
8.343 6.39292 0.0676737 
8.8589 5.93944 0.0293956 
9.07045 5.42493 -0.270033 
8.78775 5.01789 -0.690919 
8.45191 4.52053 -0.479148 
8.19255 4.13345 0.00100305 
8.09427 3.55892 -0.245273 
8.38136 3.09001 -0.557666 
7.76552 2.859 -0.46112 
7.21813 2.5807 -0.277239 
7.2551 1.90302 -0.22258 

